Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
78,CCAFS,Starlink,Starlink,LEO,NASA,"Success
",F9 B5B1056.3,"No attempt
",17 December 2019,00:10
79,KSC,Crew Dragon in-flight abort test,Crew Dragon in-flight abort test,Sub-orbital,SpaceX,"Success
",F9 B5,Success,7 January 2020,02:19:21
80,CCAFS,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Failure,19 January 2020,15:30
81,CCAFS,Starlink,Starlink,LEO,NASA,"Success
",F9 B5,Success,29 January 2020,14:07
82,CCAFS,SpaceX CRS-20,SpaceX CRS-20,LEO,SpaceX,"Success
",F9 B5,Failure,17 February 2020,15:05
83,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Success,7 March 2020,04:50
84,KSC,Starlink,Starlink,LEO,NASA,"Success
",F9 B5,Success,18 March 2020,12:16
85,KSC,Crew Dragon Demo-2,Crew Dragon Demo-2,LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
86,CCAFS,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Success,30 May 2020,19:22
87,CCAFS,Starlink,Starlink,LEO,U.S. Space Force,"Success
",F9 B5,Success,4 June 2020,01:25
88,CCAFS,GPS III,GPS III,MEO,Republic of Korea Army,"Success
",F9 B5,Success,13 June 2020,09:21
89,CCAFS,ANASIS-II,ANASIS-II,GTO,SpaceX,"Success
",F9 B5,Success,30 June 2020,20:10:46
90,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
91,CCAFS,Starlink,Starlink,LEO,CONAE,"Success
",F9 B5,Success,7 August 2020,05:12
92,CCAFS,SAOCOM 1B,SAOCOM 1B,SSO,SpaceX,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
93,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
94,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
95,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
96,CCAFS,Starlink,Starlink,LEO,USSF,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
97,CCAFS,GPS III,GPS III,MEO,NASA,"Success
",F9 B5,Success,24 October 2020,15:31:34
98,KSC,Crew-1,Crew-1,LEO,NASA,"Success
",F9 B5,Success,5 November 2020,23:24:23
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),Sentinel-6 Michael Freilich (Jason-CS A),LEO,SpaceX,"Success
",F9 B5,Success,16 November 2020,00:27
100,CCAFS,Starlink,Starlink,LEO,NASA,"Success
",F9 B5,Success,21 November 2020,17:17:08
101,KSC,SpaceX CRS-21,SpaceX CRS-21,LEO,Sirius XM,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
102,CCSFS,SXM-7,SXM-7,GTO,NRO,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
103,KSC,NROL-108,NROL-108,LEO,Türksat,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
104,CCSFS,Türksat 5A,Türksat 5A,GTO,SpaceX,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
105,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Failure,8 January 2021,02:15
106,CCSFS,Transporter-1,Transporter-1,SSO,NASA,Success,F9 B5B1051.8,Failure,20 January 2021,13:02
1,CCAFS,Dragon Spacecraft Qualification Unit,Dragon Spacecraft Qualification Unit,LEO,NASA,Success,F9 B5B1058.5,"No attempt
",24 January 2021,15:00
2,CCAFS,Dragon,Dragon,LEO,NASA,"Success
",F9 v1.0B0003.1,No attempt,4 June 2010,18:45
3,CCAFS,Dragon,Dragon,LEO,NASA,"Success
",F9 v1.0B0004.1,"No attempt
",8 December 2010,15:43
4,CCAFS,SpaceX CRS-1,SpaceX CRS-1,LEO,MDA,Success,F9 v1.0B0005.1,Uncontrolled,22 May 2012,07:44
5,CCAFS,SpaceX CRS-2,SpaceX CRS-2,LEO,SES,Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
6,VAFB,CASSIOPE,CASSIOPE,Polar orbit,Thaicom,Success,F9 v1.0B0007.1,No attempt,1 March 2013,15:10
7,CCAFS,SES-8,SES-8,GTO,NASA,"Success
",F9 v1.1B1003,Controlled,29 September 2013,16:00
8,CCAFS,Thaicom 6,Thaicom 6,GTO,Orbcomm,Success,F9 v1.1,Controlled,3 December 2013,22:41
9,Cape Canaveral,SpaceX CRS-3,SpaceX CRS-3,LEO,AsiaSat,Success,F9 v1.1,No attempt,6 January 2014,22:06
10,Cape Canaveral,Orbcomm-OG2,Orbcomm-OG2,LEO,AsiaSat,Success,F9 v1.1,"No attempt
",18 April 2014,19:25
11,Cape Canaveral,AsiaSat 8,AsiaSat 8,GTO,NASA,Success,F9 v1.1,Uncontrolled,14 July 2014,15:15
12,Cape Canaveral,AsiaSat 6,AsiaSat 6,GTO,NASA,Success,F9 v1.1,Failure ,5 August 2014,08:00
13,Cape Canaveral,SpaceX CRS-4,SpaceX CRS-4,LEO,USAF,"Success
",F9 v1.1,Controlled,7 September 2014,05:00
14,Cape Canaveral,SpaceX CRS-5,SpaceX CRS-5,LEO,ABS,"Success
",F9 v1.1,No attempt,21 September 2014,05:52
15,Cape Canaveral,DSCOVR,DSCOVR,HEO,NASA,"Success
",F9 v1.1,Failure,10 January 2015,09:47
16,Cape Canaveral,ABS-3A,ABS-3A,GTO,,"Success
",F9 v1.1,No attempt,11 February 2015,23:03
17,Cape Canaveral,SpaceX CRS-6,SpaceX CRS-6,LEO,NASA,Failure,F9 v1.1,Precluded,2 March 2015,03:50
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,TürkmenÄlem 52°E / MonacoSAT,GTO,Orbcomm,"Success
",F9 v1.1,Success,14 April 2015,20:10
19,Cape Canaveral,SpaceX CRS-7,SpaceX CRS-7,LEO,NASA,"Success
",F9 v1.1,Failure,27 April 2015,23:03
20,Cape Canaveral,Orbcomm-OG2,Orbcomm-OG2,LEO,SES,"Success
",F9 v1.1,Failure,28 June 2015,14:21
21,VAFB,Jason-3,Jason-3,LEO,NASA,Success,F9 FT,Success,22 December 2015,01:29
22,Cape Canaveral,SES-9,SES-9,GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,17 January 2016,18:42
23,Cape Canaveral,SpaceX CRS-8,SpaceX CRS-8,LEO,Thaicom,"Success
",F9 FT,Success,4 March 2016,23:35
24,Cape Canaveral,JCSAT-14,JCSAT-14,GTO,ABS,"Success
",F9 FT,Failure,8 April 2016,20:43
25,Cape Canaveral,Thaicom 8,Thaicom 8,GTO,NASA,"Success
",F9 FT,Success,6 May 2016,05:21
26,Cape Canaveral,ABS-2A,ABS-2A,GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,27 May 2016,21:39
27,Cape Canaveral,SpaceX CRS-9,SpaceX CRS-9,LEO,Iridium Communications,"Success
",F9 FT,Success,15 June 2016,14:29
28,Cape Canaveral,JCSAT-16,JCSAT-16,GTO,NASA,"Success
",F9 FT,Success,18 July 2016,04:45
29,VAFB,Iridium NEXT,Iridium NEXT,Polar,EchoStar,"Success
",F9 FT,No attempt,14 August 2016,05:26
30,KSC,SpaceX CRS-10,SpaceX CRS-10,LEO,SES,Success,F9 FT,Success,14 January 2017,17:54
31,KSC,EchoStar 23,EchoStar 23,GTO,NRO,"Success
",F9 FT,Success,19 February 2017,14:39
32,KSC,SES-10,SES-10,GTO,Inmarsat,"Success
",F9 FT,No attempt,16 March 2017,06:00
33,KSC,NROL-76,NROL-76,LEO,NASA,"Success
",F9 FT♺,Success,30 March 2017,22:27
34,KSC,Inmarsat-5 F4,Inmarsat-5 F4,GTO,Bulsatcom,"Success
",F9 FT,Success,1 May 2017,11:15
35,KSC,SpaceX CRS-11,SpaceX CRS-11,LEO,Iridium Communications,"Success
",F9 FT,Success,15 May 2017,23:21
36,KSC,BulgariaSat-1,BulgariaSat-1,GTO,Intelsat,"Success
",F9 FT,No attempt,3 June 2017,21:07
37,VAFB,Iridium NEXT,Iridium NEXT,LEO,NASA,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
38,KSC,Intelsat 35e,Intelsat 35e,GTO,NSPO,"Success
",F9 FT,Success,25 June 2017,20:25
39,KSC,SpaceX CRS-12,SpaceX CRS-12,LEO,USAF,"Success
",F9 FT,Success,5 July 2017,23:38
40,VAFB,Formosat-5,Formosat-5,SSO,Iridium Communications,"Success
",F9 B4,Success,14 August 2017,16:31
41,KSC,Boeing X-37B,Boeing X-37B,LEO,SES S.A.,"Success
",F9 FT,Success,24 August 2017,18:51
42,VAFB,Iridium NEXT,Iridium NEXT,Polar,KT Corporation,"Success
",F9 B4,Success,7 September 2017,14:00
43,KSC,SES-11,SES-11,GTO,NASA,"Success
",F9 B4,Success,9 October 2017,12:37
44,KSC,Koreasat 5A,Koreasat 5A,GTO,Iridium Communications,Success,F9 FTB1031.2,Controlled,11 October 2017,22:53:00
45,Cape Canaveral,SpaceX CRS-13,SpaceX CRS-13,LEO,Northrop Grumman,Success,F9 B4,Success,30 October 2017,19:34
46,VAFB,Iridium NEXT,Iridium NEXT,Polar,SES,Success,F9 FTB1035.2,Controlled,15 December 2017,15:36
47,CCAFS,Zuma,Zuma,LEO,Hisdesat,Success,F9 FTB1036.2,No attempt,23 December 2017,01:27
48,CCAFS,GovSat-1,GovSat-1,GTO,Hispasat,Success,F9 B4,No attempt,8 January 2018,01:00
49,VAFB,Paz,Paz,SSO,Iridium Communications,Success,F9 FTB1032.2,No attempt,31 January 2018,21:25
50,CCAFS,Hispasat 30W-6,Hispasat 30W-6,GTO,NASA,Success,F9 FTB1038.2,No attempt,22 February 2018,14:17
51,VAFB,Iridium NEXT,Iridium NEXT,Polar,NASA,Success,F9 B4,Success,6 March 2018,05:33
52,CCAFS,SpaceX CRS-14,SpaceX CRS-14,LEO,Thales-Alenia,Success,F9 B4B1041.2,Success,30 March 2018,14:14
53,CCAFS,Transiting Exoplanet Survey Satellite,Transiting Exoplanet Survey Satellite,HEO,Iridium Communications,Success,F9 B4B1039.2,No attempt,2 April 2018,20:30
54,KSC,Bangabandhu-1,Bangabandhu-1,GTO,SES,Success,F9 B4,No attempt,18 April 2018,22:51
55,VAFB,Iridium NEXT,Iridium NEXT,Polar,NASA,Success,F9 B5B1046.1,No attempt,11 May 2018,20:14
56,CCAFS,SES-12,SES-12,GTO,Telesat,Success,F9 B4B1043.2,Success,22 May 2018,19:47
57,CCAFS,SpaceX CRS-15,SpaceX CRS-15,LEO,Iridium Communications,Success,F9 B4B1040.2,Success,4 June 2018,04:45
58,CCAFS,Telstar 19V,Telstar 19V,GTO,Telkom Indonesia,Success,F9 B4B1045.2,Success,29 June 2018,09:42
59,VAFB,Iridium NEXT,Iridium NEXT,Polar,Telesat,Success,F9 B5,Success,22 July 2018,05:50
60,CCAFS,Merah Putih,Merah Putih,GTO,CONAE,Success,F9 B5B1048,Success,25 July 2018,11:39
61,CCAFS,Telstar 18V,Telstar 18V,GTO,Es'hailSat,Success,F9 B5B1046.2,Success,7 August 2018,05:18
62,VAFB,SAOCOM 1A,SAOCOM 1A,SSO,Spaceflight Industries,Success,F9 B5,Success,10 September 2018,04:45
63,KSC,Es'hail 2,Es'hail 2,GTO,NASA,"Success
",F9 B5B1048.2,Failure,8 October 2018,02:22
64,VAFB,SSO-A,SSO-A,SSO,USAF,Success,F9 B5B1047.2,No attempt,15 November 2018,20:46
65,CCAFS,SpaceX CRS-16,SpaceX CRS-16,LEO,Iridium Communications,"Success
",F9 B5B1046.3,Success,3 December 2018,18:34:05
66,CCAFS,GPS III,GPS III,MEO,PSN,"Success
",F9 B5,Success,5 December 2018,18:16
67,VAFB,Iridium NEXT,Iridium NEXT,Polar,NASA,"Success
",F9 B5,Success,23 December 2018,13:51
68,CCAFS,Nusantara Satu,Nusantara Satu,GTO,NASA,"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
69,KSC,Crew Dragon Demo-1,Crew Dragon Demo-1,LEO,SpaceX,"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
70,CCAFS,SpaceX CRS-17,SpaceX CRS-17,LEO,Canadian Space Agency,"Success
",F9 B5[268],Success,2 March 2019,07:49
71,CCAFS,Starlink,Starlink,LEO,NASA,"Success
",F9 B5,Success,4 May 2019,06:48
72,VAFB,RADARSAT Constellation,RADARSAT Constellation,SSO,Spacecom,"Success
",F9 B5B1049.3,No attempt,24 May 2019,02:30
73,CCAFS,SpaceX CRS-18,SpaceX CRS-18,LEO,SpaceX,"Success
",F9 B5B1051.2,Success,12 June 2019,14:17
74,CCAFS,AMOS-17,AMOS-17,GTO,NASA,"Success
",F9 B5B1056.2,Success,25 July 2019,22:01
75,CCAFS,Starlink,Starlink,LEO,Sky Perfect JSAT,"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
76,CCAFS,SpaceX CRS-19,SpaceX CRS-19,LEO,SpaceX,"Success
",F9 B5,Success,11 November 2019,14:56
77,CCAFS,JCSat-18,JCSat-18,GTO,NASA,"Success
",F9 B5,"No attempt
",5 December 2019,17:29
78,CCAFS,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5B1056.3,Success,17 December 2019,00:10
79,KSC,Crew Dragon in-flight abort test,Crew Dragon in-flight abort test,Sub-orbital,SpaceX,"Success
",F9 B5,Failure,7 January 2020,02:19:21
80,CCAFS,Starlink,Starlink,LEO,NASA,"Success
",F9 B5,Success,19 January 2020,15:30
81,CCAFS,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Failure,29 January 2020,14:07
82,CCAFS,SpaceX CRS-20,SpaceX CRS-20,LEO,SpaceX,"Success
",F9 B5,Success,17 February 2020,15:05
83,KSC,Starlink,Starlink,LEO,NASA,"Success
",F9 B5,Success,7 March 2020,04:50
84,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Success,18 March 2020,12:16
85,KSC,Crew Dragon Demo-2,Crew Dragon Demo-2,LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
86,CCAFS,Starlink,Starlink,LEO,U.S. Space Force,"Success
",F9 B5,Success,30 May 2020,19:22
87,CCAFS,Starlink,Starlink,LEO,Republic of Korea Army,"Success
",F9 B5,Success,4 June 2020,01:25
88,CCAFS,GPS III,GPS III,MEO,SpaceX,"Success
",F9 B5,Success,13 June 2020,09:21
89,CCAFS,ANASIS-II,ANASIS-II,GTO,SpaceX,"Success
",F9 B5,Success,30 June 2020,20:10:46
90,KSC,Starlink,Starlink,LEO,CONAE,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
91,CCAFS,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,05:12
92,CCAFS,SAOCOM 1B,SAOCOM 1B,SSO,SpaceX,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
93,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
94,KSC,Starlink,Starlink,LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
95,KSC,Starlink,Starlink,LEO,USSF,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
96,CCAFS,Starlink,Starlink,LEO,NASA,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
97,CCAFS,GPS III,GPS III,MEO,NASA,"Success
",F9 B5,Success,24 October 2020,15:31:34
98,KSC,Crew-1,Crew-1,LEO,SpaceX,"Success
",F9 B5,Success,5 November 2020,23:24:23
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),Sentinel-6 Michael Freilich (Jason-CS A),LEO,NASA,"Success
",F9 B5,Success,16 November 2020,00:27
100,CCAFS,Starlink,Starlink,LEO,Sirius XM,"Success
",F9 B5,Success,21 November 2020,17:17:08
101,KSC,SpaceX CRS-21,SpaceX CRS-21,LEO,NRO,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
102,CCSFS,SXM-7,SXM-7,GTO,Türksat,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
103,KSC,NROL-108,NROL-108,LEO,SpaceX,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
104,CCSFS,Türksat 5A,Türksat 5A,GTO,SpaceX,"Success
",F9 B5 ♺,Failure,19 December 2020,14:00:00
105,KSC,Starlink,Starlink,LEO,NASA,Success,F9 B5,Failure,8 January 2021,02:15
106,CCSFS,Transporter-1,Transporter-1,SSO,NASA,Success,F9 B5B1051.8,"No attempt
",20 January 2021,13:02
1,CCAFS,Dragon Spacecraft Qualification Unit,Dragon Spacecraft Qualification Unit,LEO,NASA,"Success
",F9 B5B1058.5,No attempt,24 January 2021,15:00
1,CCAFS,Dragon,Dragon,LEO,NASA,"Success
",F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
2,CCAFS,Dragon,Dragon,LEO,MDA,Success,F9 v1.0B0004.1,Uncontrolled,8 December 2010,15:43
3,CCAFS,SpaceX CRS-1,SpaceX CRS-1,LEO,SES,Success,F9 v1.0B0005.1,No attempt,22 May 2012,07:44
4,CCAFS,SpaceX CRS-2,SpaceX CRS-2,LEO,Thaicom,Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
5,VAFB,CASSIOPE,CASSIOPE,Polar orbit,NASA,"Success
",F9 v1.0B0007.1,Controlled,1 March 2013,15:10
6,CCAFS,SES-8,SES-8,GTO,Orbcomm,Success,F9 v1.1B1003,Controlled,29 September 2013,16:00
7,CCAFS,Thaicom 6,Thaicom 6,GTO,AsiaSat,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,Cape Canaveral,SpaceX CRS-3,SpaceX CRS-3,LEO,AsiaSat,Success,F9 v1.1,"No attempt
",6 January 2014,22:06
9,Cape Canaveral,Orbcomm-OG2,Orbcomm-OG2,LEO,NASA,Success,F9 v1.1,Uncontrolled,18 April 2014,19:25
10,Cape Canaveral,AsiaSat 8,AsiaSat 8,GTO,NASA,Success,F9 v1.1,Failure ,14 July 2014,15:15
11,Cape Canaveral,AsiaSat 6,AsiaSat 6,GTO,USAF,"Success
",F9 v1.1,Controlled,5 August 2014,08:00
12,Cape Canaveral,SpaceX CRS-4,SpaceX CRS-4,LEO,ABS,"Success
",F9 v1.1,No attempt,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-5,SpaceX CRS-5,LEO,NASA,"Success
",F9 v1.1,Failure,21 September 2014,05:52
14,Cape Canaveral,DSCOVR,DSCOVR,HEO,,"Success
",F9 v1.1,No attempt,10 January 2015,09:47
15,Cape Canaveral,ABS-3A,ABS-3A,GTO,NASA,Failure,F9 v1.1,Precluded,11 February 2015,23:03
16,Cape Canaveral,SpaceX CRS-6,SpaceX CRS-6,LEO,Orbcomm,"Success
",F9 v1.1,Success,2 March 2015,03:50
17,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,TürkmenÄlem 52°E / MonacoSAT,GTO,NASA,"Success
",F9 v1.1,Failure,14 April 2015,20:10
18,Cape Canaveral,SpaceX CRS-7,SpaceX CRS-7,LEO,SES,"Success
",F9 v1.1,Failure,27 April 2015,23:03
19,Cape Canaveral,Orbcomm-OG2,Orbcomm-OG2,LEO,NASA,Success,F9 v1.1,Success,28 June 2015,14:21
20,VAFB,Jason-3,Jason-3,LEO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,22 December 2015,01:29
21,Cape Canaveral,SES-9,SES-9,GTO,Thaicom,"Success
",F9 v1.1,Success,17 January 2016,18:42
22,Cape Canaveral,SpaceX CRS-8,SpaceX CRS-8,LEO,ABS,"Success
",F9 FT,Failure,4 March 2016,23:35
23,Cape Canaveral,JCSAT-14,JCSAT-14,GTO,NASA,"Success
",F9 FT,Success,8 April 2016,20:43
24,Cape Canaveral,Thaicom 8,Thaicom 8,GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,6 May 2016,05:21
25,Cape Canaveral,ABS-2A,ABS-2A,GTO,Iridium Communications,"Success
",F9 FT,Success,27 May 2016,21:39
26,Cape Canaveral,SpaceX CRS-9,SpaceX CRS-9,LEO,NASA,"Success
",F9 FT,Success,15 June 2016,14:29
27,Cape Canaveral,JCSAT-16,JCSAT-16,GTO,EchoStar,"Success
",F9 FT,No attempt,18 July 2016,04:45
28,VAFB,Iridium NEXT,Iridium NEXT,Polar,SES,Success,F9 FT,Success,14 August 2016,05:26
29,KSC,SpaceX CRS-10,SpaceX CRS-10,LEO,NRO,"Success
",F9 FT,Success,14 January 2017,17:54
30,KSC,EchoStar 23,EchoStar 23,GTO,Inmarsat,"Success
",F9 FT,No attempt,19 February 2017,14:39
31,KSC,SES-10,SES-10,GTO,NASA,"Success
",F9 FT,Success,16 March 2017,06:00
32,KSC,NROL-76,NROL-76,LEO,Bulsatcom,"Success
",F9 FT♺,Success,30 March 2017,22:27
33,KSC,Inmarsat-5 F4,Inmarsat-5 F4,GTO,Iridium Communications,"Success
",F9 FT,Success,1 May 2017,11:15
34,KSC,SpaceX CRS-11,SpaceX CRS-11,LEO,Intelsat,"Success
",F9 FT,No attempt,15 May 2017,23:21
35,KSC,BulgariaSat-1,BulgariaSat-1,GTO,NASA,"Success
",F9 FT,Success,3 June 2017,21:07
36,VAFB,Iridium NEXT,Iridium NEXT,LEO,NSPO,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
37,KSC,Intelsat 35e,Intelsat 35e,GTO,USAF,"Success
",F9 FT,Success,25 June 2017,20:25
38,KSC,SpaceX CRS-12,SpaceX CRS-12,LEO,Iridium Communications,"Success
",F9 FT,Success,5 July 2017,23:38
39,VAFB,Formosat-5,Formosat-5,SSO,SES S.A.,"Success
",F9 B4,Success,14 August 2017,16:31
40,KSC,Boeing X-37B,Boeing X-37B,LEO,KT Corporation,"Success
",F9 FT,Success,24 August 2017,18:51
41,VAFB,Iridium NEXT,Iridium NEXT,Polar,NASA,"Success
",F9 B4,Success,7 September 2017,14:00
42,KSC,SES-11,SES-11,GTO,Iridium Communications,Success,F9 B4,Controlled,9 October 2017,12:37
43,KSC,Koreasat 5A,Koreasat 5A,GTO,Northrop Grumman,Success,F9 FTB1031.2,Success,11 October 2017,22:53:00
44,Cape Canaveral,SpaceX CRS-13,SpaceX CRS-13,LEO,SES,Success,F9 B4,Controlled,30 October 2017,19:34
45,VAFB,Iridium NEXT,Iridium NEXT,Polar,Hisdesat,Success,F9 FTB1035.2,No attempt,15 December 2017,15:36
46,CCAFS,Zuma,Zuma,LEO,Hispasat,Success,F9 FTB1036.2,No attempt,23 December 2017,01:27
47,CCAFS,GovSat-1,GovSat-1,GTO,Iridium Communications,Success,F9 B4,No attempt,8 January 2018,01:00
48,VAFB,Paz,Paz,SSO,NASA,Success,F9 FTB1032.2,No attempt,31 January 2018,21:25
49,CCAFS,Hispasat 30W-6,Hispasat 30W-6,GTO,NASA,Success,F9 FTB1038.2,Success,22 February 2018,14:17
50,VAFB,Iridium NEXT,Iridium NEXT,Polar,Thales-Alenia,Success,F9 B4,Success,6 March 2018,05:33
